iter	Passed	Remaining
402	12834	19012
403	12835	18934
404	12836	18857
405	12837	18781
406	12837	18704
407	12838	18629
408	12839	18553
409	12842	18480
410	12843	18405
411	12844	18331
412	12845	18257
413	12846	18183
414	12847	18110
415	12848	18037
416	12849	17964
417	12850	17891
418	12851	17819
419	12852	17748
420	12853	17676
421	12854	17605
422	12854	17535
423	12857	17466
424	12858	17396
425	12859	17326
426	12860	17257
427	12861	17188
428	12863	17120
429	12864	17052
430	12865	16984
431	12866	16916
432	12868	16850
433	12869	16783
434	12871	16717
435	12873	16652
436	12874	16586
437	12875	16520
438	12876	16454
439	12877	16389
440	12878	16323
441	12879	16259
442	12880	16194
443	12881	16130
444	12882	16066
445	12882	16002
446	12883	15939
447	12885	15876
448	12887	15814
449	12888	15752
450	12889	15690
451	12891	15628
452	12892	15567
453	12893	15506
454	12894	15445
455	12895	15384
456	12896	15323
457	12897	15263
458	12898	15203
459	12899	15143
460	12901	15084
461	12903	15025
462	12904	14966
463	12905	14907
464	12906	14848
465	12907	14790
466	12908	14732
467	12908	14674
468	12909	14616
469	12910	14559
470	12911	14501
471	12912	14444
472	12913	14388
473	12915	14332
474	12917	14276
475	12918	14220
476	12919	14165
477	12920	14109
478	12921	14054
479	12922	13999
480	12923	13944
481	12924	13890
482	12925	13835
483	12926	13781
484	12928	13727
485	12929	13674
486	12931	13622
487	12932	13568
488	12933	13515
489	12934	13462
490	12935	13410
491	12936	13357
492	12937	13305
493	12938	13253
494	12939	13201
495	12940	13149
496	12941	13097
497	12942	13046
498	12943	12995
499	12945	12945
500	12946	12895
501	12947	12844
502	12948	12794
503	12949	12744
504	12950	12694
505	12951	12644
506	12952	12595
507	12953	12545
508	12954	12496
509	12955	12447
510	12956	12398
511	12957	12350
512	12958	12302
513	12961	12255
514	12962	12207
515	12963	12159
516	12964	12111
517	12965	12064
518	12966	12016
519	12967	11969
520	12968	11922
521	12969	11876
522	12970	11829
523	12971	11783
524	12972	11736
525	12973	11690
526	12974	11644
527	12976	11600
528	12978	11555
529	12979	11509
530	12980	11464
531	12981	11420
532	12983	11375
533	12984	11330
534	12985	11286
535	12986	11241
536	12987	11197
537	12988	11154
538	12991	11111
539	12992	11067
540	12993	11023
541	12994	10980
542	12995	10937
543	12996	10894
544	12997	10851
545	12998	10808
546	12999	10765
547	13000	10722
548	13001	10680
549	13002	10638
550	13003	10596
551	13004	10554
552	13006	10513
553	13007	10471
554	13008	10430
555	13009	10388
556	13010	10347
557	13011	10306
558	13012	10265
559	13013	10224
560	13014	10183
561	13014	10143
562	13016	10103
563	13016	10062
564	13017	10022
565	13018	9982
566	13021	9944
567	13022	9904
568	13023	9864
569	13024	9825
570	13025	9786
571	13026	9746
572	13027	9707
573	13028	9669
574	13029	9630
575	13030	9591
576	13032	9553
577	13033	9515
578	13037	9479
579	13039	9442
580	13040	9404
581	13041	9366
582	13042	9328
583	13043	9291
584	13044	9253
585	13045	9216
586	13046	9179
587	13047	9142
588	13048	9105
589	13050	9068
590	13051	9032
591	13052	8995
592	13053	8959
593	13054	8922
594	13055	8886
595	13056	8850
596	13057	8814
597	13058	8778
598	13059	8742
599	13060	8706
600	13061	8671
601	13062	8635
602	13063	8600
603	13065	8566
604	13066	8531
605	13067	8496
606	13068	8461
607	13069	8426
608	13070	8391
609	13071	8357
610	13072	8322
611	13073	8288
612	13074	8254
613	13075	8220
614	13076	8186
615	13077	8152
616	13078	8118
617	13080	8085
618	13082	8052
619	13083	8018
620	13084	7985
621	13085	7952
622	13087	7919
623	13088	7886
624	13089	7853
625	13090	7820
626	13091	7787
627	13092	7755
628	13093	7722
629	13095	7690
630	13096	7658
631	13097	7626
632	13098	7594
633	13099	7562
634	13101	7530
635	13102	7498
636	13103	7466
637	13104	7435
638	13105	7403
639	13106	7372
640	13106	7340
641	13107	7309
642	13108	7278
643	13110	7247
644	13111	7216
645	13112	7185
646	13113	7154
647	13114	7124
648	13115	7093
649	13116	7062
650	13117	7032
651	13118	7002
652	13119	6971
653	13120	6941
654	13121	6911
655	13122	6881
656	13123	6851
657	13125	6822
658	13126	6792
659	13127	6762
660	13128	6733
661	13129	6703
662	13130	6674
663	13131	6644
664	13132	6615
665	13133	6586
666	13134	6557
667	13135	6528
668	13136	6499
669	13137	6470
670	13138	6441
671	13140	6413
672	13141	6385
673	13142	6356
674	13143	6328
675	13144	6300
676	13145	6271
677	13146	6243
678	13147	6215
679	13148	6187
680	13149	6159
681	13150	6131
682	13151	6104
683	13152	6076
684	13153	6048
685	13156	6021
686	13158	5995
687	13159	5967
688	13161	5940
689	13162	5913
690	13164	5886
691	13165	5859
692	13166	5832
693	13167	5805
694	13169	5779
695	13171	5753
696	13172	5726
697	13173	5699
698	13175	5673
699	13176	5646
700	13177	5620
701	13178	5594
702	13179	5568
703	13180	5541
704	13181	5515
705	13182	5489
706	13183	5463
707	13185	5438
708	13186	5412
709	13187	5386
710	13188	5360
711	13189	5335
712	13190	5309
713	13191	5283
714	13192	5258
715	13193	5233
716	13194	5207
717	13195	5182
718	13196	5157
719	13197	5132
720	13199	5107
721	13200	5082
722	13201	5058
723	13202	5033
724	13203	5008
725	13204	4983
726	13205	4959
727	13206	4934
728	13207	4909
729	13208	4885
730	13209	4861
731	13210	4836
732	13211	4812
733	13213	4788
734	13215	4764
735	13216	4740
736	13217	4716
737	13217	4692
738	13218	4668
739	13219	4644
740	13220	4621
741	13221	4597
742	13222	4573
743	13223	4550
744	13224	4526
745	13225	4503
746	13226	4479
747	13227	4456
748	13230	4433
749	13231	4410
750	13232	4387
751	13233	4364
752	13234	4341
753	13235	4318
754	13236	4295
755	13237	4272
756	13238	4249
757	13239	4226
758	13240	4204
759	13242	4181
760	13243	4159
761	13244	4136
762	13245	4114
763	13246	4091
764	13247	4069
765	13248	4047
766	13249	4025
767	13250	4002
768	13251	3980
769	13253	3958
770	13254	3936
771	13254	3914
772	13255	3892
773	13258	3871
774	13259	3849
775	13260	3827
776	13261	3806
777	13263	3784
778	13264	3763
779	13265	3741
780	13266	3720
781	13267	3698
782	13268	3677
783	13269	3655
784	13270	3634
785	13273	3613
786	13274	3592
787	13275	3571
788	13276	3550
789	13277	3529
790	13278	3508
791	13278	3487
792	13279	3466
793	13280	3445
794	13281	3424
795	13282	3404
796	13283	3383
797	13284	3362
798	13285	3342
799	13288	3322
800	13289	3301
801	13290	3281
802	13291	3260
803	13292	3240
804	13293	3220
805	13294	3199
806	13295	3179
807	13296	3159
808	13297	3139
809	13298	3119
810	13299	3099
811	13300	3079
812	13302	3059
813	13303	3039
814	13304	3020
815	13305	3000
816	13306	2980
817	13307	2960
818	13308	2941
819	13309	2921
820	13310	2902
821	13311	2882
822	13312	2863
823	13313	2843
824	13314	2824
825	13315	2805
826	13318	2786
827	13319	2766
828	13320	2747
829	13321	2728
830	13322	2709
831	13323	2690
832	13324	2671
833	13325	2652
834	13326	2633
835	13327	2614
836	13328	2595
837	13329	2576
838	13330	2557
839	13331	2539
840	13333	2520
841	13334	2502
842	13335	2483
843	13336	2465
844	13337	2446
845	13338	2428
846	13339	2409
847	13340	2391
848	13341	2372
849	13342	2354
850	13343	2336
851	13344	2318
852	13345	2299
853	13346	2281
854	13348	2263
855	13349	2245
856	13350	2227
857	13351	2209
858	13352	2191
859	13353	2173
860	13354	2155
861	13355	2138
862	13356	2120
863	13357	2102
864	13358	2084
865	13359	2067
866	13360	2049
867	13363	2032
868	13364	2014
869	13366	1997
870	13368	1979
871	13369	1962
872	13370	1945
873	13371	1927
874	13372	1910
875	13373	1893
876	13374	1875
877	13375	1858
878	13378	1841
879	13379	1824
880	13381	1807
881	13382	1790
882	13384	1773
883	13385	1756
884	13387	1739
885	13388	1722
886	13389	1705
887	13390	1688
888	13392	1672
889	13393	1655
890	13394	1638
891	13395	1621
892	13396	1605
893	13397	1588
894	13398	1571
895	13399	1555
896	13400	1538
897	13401	1522
898	13402	1505
899	13403	1489
900	13404	1472
901	13405	1456
902	13408	1440
903	13409	1423
904	13410	1407
905	13410	1391
906	13411	1375
907	13412	1359
908	13413	1342
909	13414	1326
910	13415	1310
911	13416	1294
912	13417	1278
913	13418	1262
914	13419	1246
915	13420	1230
916	13423	1214
917	13424	1199
918	13425	1183
919	13426	1167
920	13427	1151
921	13428	1136
922	13429	1120
923	13430	1104
924	13431	1089
925	13432	1073
926	13433	1057
927	13434	1042
928	13435	1026
929	13436	1011
930	13438	995
931	13439	980
932	13441	965
933	13442	949
934	13442	934
935	13443	919
936	13444	903
937	13445	888
938	13445	873
939	13446	858
940	13447	843
941	13448	828
942	13448	812
943	13449	797
944	13450	782
945	13451	767
946	13453	752
947	13454	738
948	13455	723
949	13456	708
950	13457	693
951	13458	678
952	13459	663
953	13460	649
954	13460	634
955	13461	619
956	13462	604
957	13463	590
958	13463	575
959	13464	561
960	13465	546
961	13466	531
962	13468	517
963	13468	502
964	13469	488
965	13470	474
966	13471	459
967	13471	445
968	13472	431
969	13473	416
970	13473	402
971	13474	388
972	13475	373
973	13476	359
974	13476	345
975	13477	331
976	13478	317
977	13479	303
978	13479	289
979	13480	275
980	13482	261
981	13483	247
982	13484	233
983	13484	219
984	13485	205
985	13486	191
986	13487	177
987	13487	163
988	13488	150
989	13489	136
990	13489	122
991	13490	108
992	13491	95
993	13492	81
994	13492	67
995	13493	54
996	13494	40
997	13495	27
998	13495	13
999	13497	0
