iter	RMSE
165	3.945827236
166	3.940623851
167	3.933984497
168	3.928254498
169	3.923266286
170	3.916121759
171	3.912527974
172	3.905392467
173	3.898693479
174	3.894762317
175	3.888084875
176	3.884849784
177	3.879461539
178	3.872695312
179	3.870061126
180	3.865611295
181	3.857702176
182	3.852004259
183	3.847820214
184	3.843653266
185	3.836289733
186	3.833547878
187	3.829175971
188	3.826964938
189	3.819833234
190	3.818670773
191	3.817877519
192	3.814960601
193	3.811488705
194	3.807639922
195	3.802102413
196	3.798902332
197	3.795984955
198	3.789696355
199	3.786742094
200	3.783532875
201	3.781126189
202	3.777807231
203	3.776845331
204	3.775483235
205	3.772242502
206	3.770885305
207	3.766912603
208	3.764268437
209	3.763745527
210	3.760794508
211	3.757201358
212	3.754962066
213	3.75194983
214	3.748631048
215	3.746370609
216	3.744767598
217	3.74023002
218	3.738904835
219	3.737300656
220	3.733033452
221	3.729355528
222	3.727253469
223	3.724158179
224	3.721756863
225	3.719531772
226	3.716795045
227	3.712331809
228	3.708088818
229	3.704354046
230	3.702488014
231	3.70172391
232	3.697283634
233	3.694440751
234	3.691206053
235	3.685425829
236	3.681459979
237	3.676831438
238	3.672932501
239	3.669931511
240	3.666717153
241	3.663442969
242	3.66054229
243	3.65814168
244	3.655564209
245	3.652531633
246	3.651706307
247	3.649096557
248	3.647775373
249	3.646564415
250	3.641533694
251	3.640409211
252	3.639585394
253	3.636794656
254	3.635498922
255	3.634972574
256	3.632240083
257	3.631491089
258	3.630729735
259	3.628391001
260	3.62197081
261	3.62073287
262	3.614895187
263	3.610182099
264	3.607095527
265	3.606406932
266	3.60339075
267	3.602237576
268	3.598295845
269	3.592977249
270	3.592466304
271	3.588254715
272	3.586150008
273	3.585158401
274	3.584332248
275	3.580552541
276	3.579544578
277	3.578615607
278	3.57404763
279	3.571693869
280	3.571070582
281	3.569355965
282	3.5685692
283	3.567988465
284	3.567053275
285	3.562002415
286	3.55982457
287	3.557532042
288	3.55608336
289	3.553914709
290	3.553464249
291	3.54958869
292	3.548892488
293	3.546326166
294	3.54224042
295	3.537811929
296	3.535862281
297	3.530780256
298	3.527383696
299	3.523776061
300	3.52189978
301	3.517844596
302	3.51431396
303	3.513672475
304	3.510084813
305	3.505688089
306	3.500427311
307	3.494446535
308	3.489832753
309	3.489485323
310	3.48900345
311	3.484841678
312	3.484527043
313	3.483405937
314	3.477825376
315	3.474574375
316	3.470621624
317	3.468157761
318	3.467755916
319	3.46747375
320	3.467149855
321	3.464665078
322	3.458746017
323	3.455338747
324	3.455022351
325	3.450916424
326	3.44927047
327	3.447562625
328	3.444223578
329	3.443929551
330	3.440195511
331	3.43633307
332	3.433418534
333	3.429666458
334	3.426287529
335	3.423786379
336	3.420982904
337	3.41731765
338	3.41580135
339	3.411315625
340	3.407944582
341	3.402574802
342	3.400059393
343	3.398326716
344	3.390783592
345	3.390452587
346	3.390180516
347	3.389449838
348	3.385683682
349	3.383131705
350	3.380159942
351	3.377483033
352	3.371511684
353	3.368456317
354	3.365572917
355	3.360276867
356	3.359795006
357	3.359558613
358	3.356978137
359	3.352595493
360	3.349201156
361	3.343161441
362	3.342801797
363	3.340935413
364	3.337810185
365	3.334589035
366	3.334187415
367	3.331312051
368	3.326959668
369	3.32480817
370	3.324606555
371	3.322606854
372	3.322475334
373	3.320086698
374	3.318365434
375	3.3157426
376	3.313566032
377	3.308610892
378	3.306348628
379	3.30593399
380	3.303624819
381	3.303429811
382	3.303289165
383	3.301532694
384	3.298081957
385	3.297089406
386	3.293631843
387	3.291014898
388	3.287604789
389	3.285542036
390	3.282605508
391	3.280134028
392	3.277935713
393	3.27272756
394	3.269088052
395	3.26661505
396	3.264280397
397	3.260395811
398	3.258659165
399	3.256886047
400	3.253346786
401	3.250240723
402	3.244816346
403	3.242477226
404	3.239742238
405	3.237077269
406	3.236895109
407	3.234337985
408	3.231663634
409	3.23130107
410	3.231076078
411	3.227893327
412	3.226079699
413	3.224354987
414	3.221102988
415	3.220497553
416	3.220314756
417	3.217417297
418	3.214484758
419	3.212648589
420	3.212439868
421	3.207840522
422	3.206439502
423	3.203629014
424	3.200737787
425	3.195881248
426	3.190399267
427	3.186123661
428	3.183677381
429	3.179894331
430	3.177808765
431	3.176082754
432	3.172185895
433	3.16912679
434	3.167308197
435	3.165524258
436	3.163437697
437	3.158301663
438	3.15661472
439	3.155453643
440	3.15515896
441	3.153743312
442	3.151920347
443	3.148514991
444	3.145968029
445	3.144025178
446	3.142186128
447	3.139364138
448	3.135115527
449	3.13341909
450	3.130683857
451	3.127542395
452	3.125789327
453	3.123591317
454	3.121790647
455	3.120374858
456	3.119229227
457	3.116595073
458	3.114922816
459	3.112700102
460	3.111417892
461	3.106180402
462	3.104695283
463	3.103547896
464	3.099697527
465	3.097693901
466	3.095921446
467	3.092889524
468	3.092657621
469	3.089486511
470	3.087746413
471	3.086329122
472	3.084129621
473	3.080219261
474	3.077545379
475	3.073470424
476	3.071793549
477	3.068025017
478	3.065325897
479	3.062053085
480	3.059012567
481	3.056224446
482	3.055942037
483	3.05585843
484	3.053625029
485	3.050044466
486	3.047666638
487	3.045832314
488	3.044255832
489	3.042893687
490	3.041645031
491	3.039391844
492	3.034640546
493	3.030061979
494	3.027462705
495	3.027004576
496	3.024867734
497	3.022561115
498	3.022300916
499	3.02137653
500	3.021114462
501	3.018616087
502	3.016122499
503	3.01416646
504	3.014038654
505	3.012621194
506	3.012372546
507	3.01218323
508	3.010504859
509	3.005748604
510	3.001412452
511	2.999782918
512	2.997765824
513	2.995801258
514	2.992775721
515	2.987554511
516	2.985916506
517	2.98467516
518	2.984575672
519	2.980469149
520	2.97761024
521	2.975139225
522	2.973737926
523	2.973520983
524	2.973367956
525	2.97324985
526	2.972486931
527	2.968356623
528	2.96449302
529	2.962153976
530	2.961391029
531	2.959844907
532	2.958375106
533	2.954558961
534	2.949971487
535	2.947113653
536	2.94569428
537	2.943534544
538	2.941410065
539	2.941213094
540	2.939330983
541	2.935088135
542	2.930056614
543	2.92733729
544	2.924901969
545	2.920356342
546	2.918393279
547	2.918227391
548	2.916607442
549	2.914442024
550	2.912314342
551	2.910522087
552	2.906728835
553	2.905266572
554	2.903638778
555	2.903527247
556	2.903058643
557	2.901430963
558	2.89968454
559	2.897457116
560	2.895714269
561	2.893798953
562	2.893335538
563	2.891924776
564	2.888788343
565	2.886299524
566	2.883599024
567	2.882561455
568	2.880779871
569	2.879115738
570	2.875445535
571	2.872972766
572	2.869952514
573	2.866726979
574	2.864894737
575	2.861298197
576	2.859792609
577	2.857948245
578	2.856091076
579	2.853886897
580	2.850860359
581	2.849429685
582	2.847784774
583	2.843602104
584	2.840745118
585	2.836553626
586	2.836456111
587	2.832419822
588	2.830276648
589	2.829239481
590	2.828148405
591	2.824247298
592	2.821531314
593	2.820112542
594	2.818617418
595	2.81697481
596	2.814305241
597	2.813606182
598	2.812241358
599	2.810189532
600	2.808623189
601	2.806907333
602	2.803710245
603	2.802023945
604	2.799235252
605	2.798075317
606	2.797363838
607	2.795576502
608	2.794958101
609	2.793136927
610	2.792015132
611	2.790509728
612	2.790079468
613	2.78901903
614	2.787879423
615	2.786523978
616	2.784936521
617	2.783642732
618	2.782587675
619	2.780776704
620	2.779910389
621	2.779823119
622	2.778771507
623	2.777076797
624	2.776993352
625	2.776912054
626	2.775902253
627	2.773314992
628	2.770658384
629	2.770039593
630	2.768689159
631	2.768136388
632	2.76637297
633	2.763820263
634	2.762433717
635	2.758890662
636	2.758751773
637	2.755953438
638	2.752731029
639	2.75143346
640	2.751301514
641	2.751170883
642	2.750432775
643	2.747934421
644	2.746735694
645	2.744326892
646	2.743015681
647	2.740301575
648	2.739210136
649	2.739123094
650	2.738233405
651	2.737206993
652	2.735254362
653	2.734200711
654	2.733056536
655	2.730861503
656	2.730011487
657	2.726198189
658	2.724582511
659	2.723167127
660	2.721863518
661	2.71968262
662	2.719601053
663	2.716266266
664	2.71515651
665	2.713594392
666	2.712544724
667	2.71071444
668	2.708846197
669	2.707474754
670	2.704683994
671	2.702091786
672	2.699076826
673	2.697177038
674	2.697095569
675	2.695743239
676	2.694450293
677	2.69129178
678	2.688282443
679	2.688204441
680	2.685583005
681	2.682607492
682	2.682246349
683	2.678635112
684	2.677488195
685	2.675305493
686	2.672570466
687	2.671382249
688	2.670578256
689	2.668277484
690	2.666063378
691	2.664616786
692	2.663213107
693	2.660144015
694	2.659233196
695	2.657608693
696	2.656856425
697	2.653802288
698	2.652021807
699	2.649577007
700	2.647379956
701	2.646046462
702	2.64451585
703	2.641750885
704	2.638400468
705	2.637157188
706	2.634809912
707	2.633252759
708	2.63197766
709	2.629995646
710	2.627234061
711	2.623573657
712	2.622446073
713	2.621643951
714	2.619685065
715	2.617877089
716	2.61669531
717	2.615907855
718	2.615404086
719	2.613433782
720	2.61155183
721	2.609579055
722	2.60672803
723	2.605688525
724	2.604877507
725	2.601770262
726	2.600930525
727	2.600215
728	2.598959465
729	2.596890884
730	2.595689303
731	2.592376818
732	2.589231857
733	2.586978409
734	2.585928844
735	2.5849878
736	2.582071239
737	2.581487062
738	2.579082039
739	2.576925447
740	2.574502976
741	2.571812167
742	2.571168376
743	2.570004879
744	2.569848021
745	2.568736561
746	2.566000798
747	2.564657281
748	2.56213532
749	2.561362296
750	2.559992158
751	2.556416907
752	2.55590896
753	2.553934023
754	2.553186266
755	2.55214659
756	2.551943008
757	2.551628107
758	2.55138124
759	2.548914678
760	2.548503085
761	2.5479892
762	2.547075573
763	2.545248942
764	2.54386172
765	2.54281346
766	2.540823623
767	2.539546116
768	2.538529405
769	2.536253635
770	2.534243284
771	2.534192262
772	2.531103805
773	2.529505506
774	2.528165118
775	2.52538541
776	2.524451547
777	2.521892643
778	2.519164451
779	2.516507177
780	2.514006187
781	2.512224698
782	2.509033394
783	2.508291654
784	2.506205652
785	2.505386699
786	2.504619627
787	2.503803667
788	2.502726684
789	2.500868979
790	2.499559831
791	2.497580216
792	2.497517526
793	2.49510503
794	2.494329043
795	2.493000323
796	2.490633972
797	2.489124759
798	2.487307539
799	2.485541546
800	2.48378721
801	2.482372966
802	2.482094107
803	2.480768718
804	2.480434378
805	2.479264419
806	2.477034865
807	2.474928082
808	2.474147795
809	2.473008469
810	2.470248361
811	2.468347851
812	2.46698563
813	2.466156384
814	2.465021215
815	2.462297615
816	2.459486842
817	2.457231767
818	2.456165623
819	2.455324104
820	2.453112045
821	2.450249957
822	2.449629292
823	2.447983919
824	2.446060373
825	2.445105722
826	2.443779659
827	2.441410094
828	2.43951488
829	2.437692576
830	2.435699489
831	2.433587913
832	2.431725332
833	2.430609117
834	2.429417886
835	2.427871095
836	2.426057882
837	2.425296782
838	2.424547216
839	2.424340845
840	2.423595032
841	2.421150023
842	2.418514017
843	2.417684265
844	2.415840763
845	2.41485311
846	2.413448518
847	2.411109775
848	2.410168998
849	2.409449672
850	2.406921149
851	2.406786614
852	2.404802968
853	2.402026602
854	2.401172366
855	2.400338703
856	2.398032637
857	2.397340948
858	2.396048084
859	2.394056432
860	2.393969106
861	2.391929658
862	2.391147156
863	2.390788852
864	2.389972631
865	2.387629076
866	2.385853216
867	2.385353442
868	2.383528186
869	2.38171919
870	2.379854418
871	2.377494777
872	2.377239716
873	2.376627835
874	2.376012375
875	2.374857781
876	2.373660491
877	2.373533887
878	2.372084511
879	2.370471469
880	2.36897224
881	2.367537309
882	2.366664126
883	2.365552327
884	2.362708668
885	2.361356007
886	2.360411414
887	2.358580961
888	2.356533126
889	2.354327409
890	2.353585551
891	2.353526929
892	2.352314962
893	2.351112569
894	2.349934738
895	2.348623782
896	2.347240835
897	2.345868236
898	2.345126693
899	2.343017738
900	2.34297405
901	2.342929585
902	2.340930889
903	2.3400648
904	2.33928504
905	2.33869912
906	2.338657116
907	2.337213662
908	2.335064244
909	2.334135212
910	2.332682324
911	2.331867636
912	2.330826044
913	2.330383481
914	2.329605224
915	2.328184342
916	2.327198724
917	2.32677655
918	2.326704702
919	2.325032554
920	2.324205375
921	2.322236213
922	2.320658875
923	2.319597774
924	2.318970783
925	2.317118042
926	2.315630852
927	2.314128041
928	2.313334284
929	2.312904244
930	2.311228787
931	2.310573594
932	2.310103325
933	2.308493742
934	2.306593345
935	2.304071188
936	2.30187348
937	2.300823484
938	2.299469614
939	2.298899228
940	2.298071809
941	2.296539974
942	2.295866505
943	2.295319872
944	2.292954764
945	2.29190813
946	2.291673636
947	2.288629782
948	2.287016743
949	2.28652015
950	2.284812811
951	2.28433284
952	2.283624957
953	2.28233658
954	2.280943995
955	2.279214606
956	2.27815273
957	2.277322883
958	2.277260287
959	2.276740455
960	2.276082634
961	2.274345687
962	2.272556981
963	2.272172637
964	2.270285772
965	2.270114278
966	2.268957435
967	2.268602966
968	2.267108148
969	2.265119972
970	2.264880234
971	2.263721431
972	2.263589471
973	2.262714797
974	2.260597424
975	2.260255295
976	2.259147101
977	2.257474683
978	2.256546741
979	2.255551076
980	2.25494898
981	2.254665475
982	2.253468455
983	2.253123024
984	2.252563737
985	2.251963804
986	2.250398276
987	2.249008398
988	2.24845857
989	2.248158004
990	2.245635544
991	2.243454608
992	2.243086719
993	2.242340189
994	2.241487009
995	2.240963787
996	2.240555706
997	2.239227537
998	2.238589127
999	2.238043677
